"","Females","Males","Total"
"Total","230.4 (217-246)","232.3 (216-253)","462.7 (441-488)"
"Norway","38.9 (32-48)","29.7 (24-38)","68.6 (59-80)"
"Region 2","0.3 (0-2)","0.3 (0-2)","0.5 (0-2)"
"Region 3","1 (0-3)","1 (0-3)","2 (0-5)"
"Region 4","13.8 (11-17)","10.9 (8-14)","24.7 (21-29)"
"Region 5","22.3 (17-29)","16.7 (12-23)","39 (32-48)"
"Region 6","1.4 (0-4)","0.9 (0-3)","2.3 (0-6)"
"Sweden","191.5 (181-204)","202.7 (189-220)","394.1 (376-415)"
"Nordre","11.3 (8-16)","11.9 (8-17)","23.2 (18-30)"
"Jämtland","7.1 (4-11)","8.4 (5-13)","15.5 (11-21)"
"Västerbotten","0 (0-0)","0 (0-0)","0 (0-1)"
"Västernorrland","4.2 (2-7)","3.4 (2-6)","7.6 (5-11)"
"Midtre","152.8 (144-163)","157.8 (146-172)","310.5 (295-328)"
"Dalarna","34.1 (29-40)","22.6 (18-29)","56.7 (50-65)"
"Gävleborg","19.6 (16-23)","14.8 (12-19)","34.4 (30-40)"
"Örebro","20.9 (17-25)","29.8 (25-35)","50.7 (44-57)"
"Stockholm","2.3 (1-4)","1.6 (0-4)","3.8 (1-7)"
"Uppsala","4.2 (3-6)","3 (1-6)","7.2 (5-11)"
"Värmland","42.6 (37-49)","56 (51-62)","98.6 (91-108)"
"Västmanland","14.3 (11-18)","15.8 (12-20)","30.1 (25-36)"
"VästraGötaland","14.8 (12-18)","14.2 (11-18)","29 (25-34)"
"Södre","27.4 (24-32)","33 (29-38)","60.4 (55-67)"
"Blekinge","0.1 (0-1)","0.1 (0-1)","0.2 (0-1)"
"Halland","1.1 (0-2)","0.3 (0-2)","1.3 (0-3)"
"Jönköping","4.4 (3-6)","7.3 (5-10)","11.7 (9-15)"
"Kalmar","0.4 (0-2)","0.5 (0-2)","0.8 (0-3)"
"Kronoberg","1.2 (0-3)","2.2 (1-4)","3.5 (2-6)"
"Östergötland","3.4 (2-5)","5.8 (5-8)","9.1 (8-12)"
"Skåne","3.4 (3-5)","5.4 (5-7)","8.8 (8-11)"
"Södermanland","13.5 (12-16)","11.5 (10-14)","24.9 (22-28)"
