"","2016/2017","2017/2018","2018/2019","2019/2020","2020/2021","2021/2022","2022/2023","2023/2024","2024/2025","2025/2026"
"Total","425.4 (412-441)","415.7 (406-426)","372.3 (356-391)","440.3 (432-450)","452.8 (439-468)","511.5 (496-529)","487.7 (473-504)","444.3 (428-463)","399.3 (386-416)","425.3 (402-453)"
"Norway","90.9 (82-101)","96.6 (89-105)","81 (74-88)","87.4 (79-96)","91.2 (83-100)","96.8 (87-107)","66.3 (58-76)","62.4 (55-71)","48.8 (42-56)","55.2 (48-65)"
"Region 2","1.8 (0-5)","0.7 (0-3)","1.2 (0-3)","1.3 (0-4)","0.4 (0-2)","0.8 (0-3)","0.7 (0-3)","0.7 (0-3)","0.6 (0-2)","0.6 (0-2)"
"Region 3","2.8 (0-7)","1.7 (0-4)","1.1 (0-3)","2 (0-5)","1.8 (0-5)","2.5 (0-6)","1.8 (0-5)","1.2 (0-4)","1.1 (0-3)","2 (0-5)"
"Region 4","18.2 (14-23)","22.4 (18-27)","24.6 (20-29)","28 (23-33)","22.9 (18-28)","27.3 (22-32)","24.3 (21-28)","22.6 (19-27)","14.6 (11-19)","16.6 (13-21)"
"Region 5","65.3 (59-72)","69.7 (64-76)","52.2 (47-58)","53.5 (48-60)","64.8 (58-72)","63.6 (56-72)","38.2 (32-46)","37.4 (32-44)","31.9 (27-38)","34.8 (29-41)"
"Region 6","2.9 (0-7)","2 (0-5)","1.9 (1-4)","2.6 (1-6)","1.4 (0-4)","2.6 (1-5)","1.3 (0-4)","0.6 (0-3)","0.7 (0-3)","1.4 (0-4)"
"Sweden","334.5 (322-349)","319.1 (310-329)","291.3 (275-310)","352.9 (346-361)","361.7 (348-377)","414.7 (399-432)","421.4 (409-436)","381.9 (366-398)","350.5 (337-365)","370.1 (350-394)"
"Nordre","19.7 (14-26)","8.8 (5-14)","17.4 (11-24)","17.1 (13-21)","18.2 (13-24)","12.1 (7-18)","22 (17-28)","15.2 (10-21)","12.5 (7-18)","15.8 (9-24)"
"Jämtland","16.1 (11-22)","7.7 (4-12)","13.8 (9-20)","15.4 (11-20)","15.7 (11-21)","9.5 (5-15)","14.7 (10-20)","9.9 (6-15)","6.5 (3-11)","8.7 (3-15)"
"Västerbotten","0.1 (0-1)","0 (0-1)","0 (0-1)","0 (0-1)","0 (0-1)","0 (0-1)","0 (0-1)","0 (0-1)","0 (0-1)","0.1 (0-1)"
"Västernorrland","3.5 (1-7)","1.1 (0-3)","3.6 (0-8)","1.7 (0-4)","2.4 (0-6)","2.5 (0-6)","7.3 (5-11)","5.3 (2-9)","6 (4-9)","7 (4-12)"
"Midtre","298.9 (288-310)","289.5 (282-298)","260.8 (248-276)","314.6 (308-323)","309.8 (297-324)","354.1 (341-368)","324.5 (313-338)","288.9 (276-303)","261.5 (250-275)","279.8 (263-298)"
"Dalarna","80.8 (74-88)","63.9 (58-70)","56.6 (48-66)","70.8 (65-77)","69.9 (62-79)","79 (71-88)","61.5 (54-70)","53.6 (46-62)","38.8 (32-46)","42.2 (33-53)"
"Gävleborg","50 (44-56)","54.2 (50-59)","46.2 (39-54)","69.3 (65-74)","60.9 (56-67)","51.2 (46-57)","34.1 (29-39)","21.6 (17-27)","21.5 (17-26)","25.2 (20-32)"
"Örebro","38.4 (34-44)","34.8 (31-39)","35.4 (29-42)","48.7 (43-54)","46.8 (40-54)","55.8 (49-63)","52.7 (47-59)","56.5 (51-63)","55.8 (50-62)","59.6 (54-66)"
"Stockholm","3.8 (2-7)","5 (3-7)","2.2 (0-5)","3.8 (2-6)","8.2 (5-11)","7.2 (4-11)","7.6 (4-11)","3.8 (2-6)","3.6 (2-6)","4.2 (2-7)"
"Uppsala","7.9 (4-12)","9.1 (6-13)","6.6 (4-10)","5.2 (3-7)","8.2 (5-11)","12.8 (10-16)","7.6 (5-11)","10.1 (8-13)","10.6 (9-13)","18 (15-22)"
"Värmland","85.6 (79-93)","87.7 (82-94)","83.7 (76-92)","83.6 (78-89)","78.5 (70-88)","104 (94-114)","101 (94-109)","72.9 (65-81)","48.7 (41-57)","43.6 (35-54)"
"Västmanland","25.7 (22-30)","26.2 (23-30)","16.3 (12-21)","27.3 (23-32)","19.1 (14-25)","24.5 (19-30)","27.8 (24-32)","24.1 (20-28)","36.3 (32-41)","36.5 (31-42)"
"Västra Götaland","6.6 (2-12)","8.7 (5-13)","13.7 (9-19)","6 (3-9)","18.3 (13-24)","19.6 (15-25)","32.4 (27-38)","46.4 (42-52)","46.2 (41-52)","50.4 (45-56)"
"Søndre","16 (10-24)","20.8 (17-25)","13.1 (8-19)","21.2 (18-25)","33.7 (28-41)","48.5 (42-56)","74.8 (69-81)","77.8 (72-84)","76.6 (71-83)","74.5 (69-82)"
"Blekinge","1.4 (1-3)","0.2 (0-1)","0.2 (0-1)","0.1 (0-1)","0.2 (0-1)","0.4 (0-2)","0.1 (0-1)","0.4 (0-2)","0.4 (0-2)","0.3 (0-2)"
"Halland","0.5 (0-2)","0.3 (0-2)","0.4 (0-2)","0.2 (0-1)","1.4 (0-3)","0.7 (0-3)","1.2 (0-3)","2.5 (1-5)","3.5 (1-6)","2.3 (1-5)"
"Jönköping","1.7 (0-5)","0.5 (0-2)","0.9 (0-3)","1.2 (0-3)","2.8 (1-6)","7.6 (5-11)","14.1 (11-18)","10.7 (7-14)","11.9 (9-16)","15.5 (13-19)"
"Kalmar","1 (0-3)","1 (0-2)","1.5 (1-3)","0.7 (0-2)","1.7 (1-4)","1.3 (0-4)","0.8 (0-3)","1.4 (0-4)","1.8 (0-5)","1.9 (1-4)"
"Kronoberg","2.2 (1-5)","0.7 (0-3)","0.7 (0-3)","0.6 (0-2)","1.8 (1-4)","2 (1-4)","3.4 (2-5)","5.7 (3-8)","5.8 (3-9)","4.3 (1-8)"
"Östergötland","3.1 (1-6)","3.6 (3-6)","3.9 (2-7)","9.8 (9-12)","8.3 (6-12)","12 (9-16)","10.7 (9-14)","10.9 (8-14)","10.5 (8-14)","7.9 (5-11)"
"Skåne","2.7 (1-6)","2.3 (1-4)","0.6 (0-3)","0.4 (0-2)","2.7 (2-5)","5.2 (4-8)","12.5 (12-14)","18.3 (16-21)","15.4 (13-18)","14.2 (11-17)"
"Södermanland","3.5 (2-6)","12.2 (11-14)","5 (3-8)","8 (6-10)","14.8 (12-19)","19.4 (16-24)","32 (29-36)","27.8 (26-31)","27.3 (25-31)","28.1 (26-31)"
