"","Females","Males","Total"
"Total","215.7 (198-238)","209.6 (196-225)","425.3 (402-453)"
"Norway","32.6 (26-41)","22.7 (20-27)","55.2 (48-65)"
"Region 2","0.3 (0-2)","0.3 (0-2)","0.6 (0-2)"
"Region 3","1.1 (0-4)","0.8 (0-3)","2 (0-5)"
"Region 4","8.8 (6-12)","7.8 (6-10)","16.6 (13-21)"
"Region 5","21 (16-27)","13.8 (11-17)","34.8 (29-41)"
"Region 6","1.3 (0-4)","0 (0-1)","1.4 (0-4)"
"Sweden","183.1 (168-202)","187 (174-202)","370.1 (350-394)"
"Nordre","9.7 (4-17)","6.1 (3-11)","15.8 (9-24)"
"Jämtland","5.4 (1-11)","3.4 (1-7)","8.7 (3-15)"
"Västerbotten","0 (0-1)","0 (0-1)","0.1 (0-1)"
"Västernorrland","4.3 (2-8)","2.7 (1-6)","7 (4-12)"
"Midtre","140.2 (128-155)","139.7 (129-152)","279.8 (263-298)"
"Dalarna","22.1 (15-30)","20.1 (14-27)","42.2 (33-53)"
"Gävleborg","11.5 (8-16)","13.7 (10-18)","25.2 (20-32)"
"Örebro","25.3 (21-30)","34.3 (30-38)","59.6 (54-66)"
"Stockholm","2 (1-4)","2.2 (1-4)","4.2 (2-7)"
"Uppsala","8.6 (6-11)","9.4 (7-12)","18 (15-22)"
"Värmland","26.1 (20-34)","17.5 (12-24)","43.6 (35-54)"
"Västmanland","16.4 (13-20)","20 (16-24)","36.5 (31-42)"
"Västra Götaland","28 (25-32)","22.4 (19-27)","50.4 (45-56)"
"Søndre","33.3 (30-38)","41.2 (37-47)","74.5 (69-82)"
"Blekinge","0.1 (0-1)","0.2 (0-1)","0.3 (0-2)"
"Halland","1.1 (0-3)","1.2 (0-3)","2.3 (1-5)"
"Jönköping","8.5 (7-10)","7.1 (5-10)","15.5 (13-19)"
"Kalmar","1.3 (1-3)","0.5 (0-2)","1.9 (1-4)"
"Kronoberg","1.1 (0-3)","3.2 (1-6)","4.3 (1-8)"
"Östergötland","3.5 (2-6)","4.3 (3-7)","7.9 (5-11)"
"Skåne","5.7 (5-7)","8.6 (6-11)","14.2 (11-17)"
"Södermanland","12.1 (10-14)","16 (15-18)","28.1 (26-31)"
