"","Females","Males","Total"
"Total","224.6 (205-249)","214.9 (201-232)","439.5 (414-470)"
"Norway","28.6 (24-35)","35 (29-42)","63.6 (56-73)"
"Region 2","0.2 (0-1)","0.4 (0-2)","0.6 (0-3)"
"Region 3","0.8 (0-3)","0.8 (0-3)","1.5 (0-5)"
"Region 4","9.4 (8-12)","11.2 (9-14)","20.7 (17-24)"
"Region 5","16.3 (13-21)","21.8 (18-27)","38.1 (33-45)"
"Region 6","1.8 (1-4)","0.8 (0-3)","2.7 (1-6)"
"Sweden","195.9 (178-218)","179.9 (167-195)","375.8 (353-403)"
"Nordre","12.8 (7-21)","9.7 (5-16)","22.4 (14-32)"
"Jämtland","9.3 (4-16)","6.2 (3-11)","15.5 (9-23)"
"Västerbotten","0 (0-1)","0 (0-0)","0 (0-1)"
"Västernorrland","3.5 (0-8)","3.4 (1-7)","6.9 (3-12)"
"Midtre","150.7 (137-167)","131 (121-143)","281.7 (264-302)"
"Dalarna","31.3 (24-40)","25 (20-32)","56.2 (47-67)"
"Gävleborg","14 (10-19)","7.4 (4-11)","21.4 (16-28)"
"Örebro","26.4 (22-32)","29.3 (26-33)","55.7 (50-62)"
"Stockholm","2.1 (1-4)","2.3 (2-4)","4.5 (3-7)"
"Uppsala","3.8 (2-6)","5.6 (4-7)","9.4 (7-12)"
"Värmland","34.2 (29-41)","33 (28-39)","67.3 (60-76)"
"Västmanland","11.8 (9-15)","11.2 (9-14)","23 (20-27)"
"VästraGötaland","27 (24-31)","17.2 (14-21)","44.2 (39-49)"
"Södre","32.5 (28-38)","39.2 (35-44)","71.7 (66-79)"
"Blekinge","0.1 (0-1)","0.1 (0-1)","0.3 (0-2)"
"Halland","1.9 (1-3)","0.3 (0-2)","2.2 (1-4)"
"Jönköping","4.5 (2-7)","4.4 (2-7)","8.9 (6-13)"
"Kalmar","0.7 (0-3)","0.6 (0-2)","1.2 (0-4)"
"Kronoberg","1.7 (0-4)","3.2 (2-5)","4.9 (3-8)"
"Östergötland","6 (5-8)","4.4 (3-7)","10.4 (8-14)"
"Skåne","6.4 (6-8)","11.4 (11-13)","17.8 (17-20)"
"Södermanland","11.2 (10-14)","14.8 (13-17)","26 (24-29)"
