"","2014/2015","2015/2016","2016/2017","2017/2018","2018/2019","2019/2020","2020/2021","2021/2022","2022/2023","2023/2024"
"Total","471 (432-515)","372.6 (354-394)","411.8 (402-423)","413.9 (405-424)","378.3 (361-399)","436.7 (429-446)","455 (440-472)","509.5 (494-527)","482.6 (469-499)","439.5 (414-470)"
"Norway","82.7 (71-97)","72.3 (67-79)","82.5 (75-91)","95.4 (87-104)","80 (74-87)","86.4 (79-94)","89 (82-97)","90.8 (82-100)","64.2 (57-73)","63.6 (56-73)"
"Region 2","1.3 (0-4)","0.3 (0-2)","0.8 (0-3)","0.8 (0-3)","0.9 (0-2)","1.3 (0-4)","0.3 (0-2)","0.6 (0-2)","0.8 (0-3)","0.6 (0-3)"
"Region 3","4.9 (1-9)","0.7 (0-3)","1.3 (0-4)","2 (0-5)","1 (0-3)","3.1 (1-6)","1.3 (0-4)","2.2 (0-5)","2.3 (0-6)","1.5 (0-5)"
"Region 4","9.9 (6-15)","12.4 (10-16)","16.4 (13-20)","22 (18-26)","24.1 (20-28)","27.4 (23-32)","23.7 (19-28)","26 (21-31)","23.9 (20-28)","20.7 (17-24)"
"Region 5","60 (52-69)","57.8 (54-63)","62.4 (57-69)","68.9 (63-75)","51.9 (47-57)","52 (47-58)","62.5 (56-69)","59.6 (53-67)","35.7 (30-42)","38.1 (33-45)"
"Region 6","6.6 (2-13)","1 (0-3)","1.5 (0-4)","1.8 (0-5)","2 (1-5)","2.6 (1-6)","1.2 (0-4)","2.5 (1-5)","1.5 (0-5)","2.7 (1-6)"
"Sweden","388.3 (355-426)","300.3 (282-322)","329.3 (318-341)","318.5 (309-329)","298.4 (281-319)","350.4 (344-358)","366 (351-383)","418.7 (403-436)","418.4 (406-432)","375.8 (353-403)"
"Nordre","34.2 (23-47)","23.3 (16-31)","18.2 (13-24)","8.6 (4-14)","18.8 (12-26)","17.4 (13-22)","18.6 (14-25)","12.8 (7-19)","22.9 (17-29)","22.4 (14-32)"
"Jämtland","25.5 (17-36)","18.2 (12-25)","15.3 (10-21)","7.7 (4-13)","15 (9-21)","16.2 (12-21)","15.9 (11-21)","10.3 (6-16)","15.2 (11-21)","15.5 (9-23)"
"Västerbotten","0.2 (0-1)","0.1 (0-1)","0 (0-1)","0 (0-0)","0 (0-1)","0 (0-0)","0 (0-1)","0 (0-1)","0 (0-1)","0 (0-1)"
"Västernorrland","8.6 (3-15)","5.1 (1-10)","2.9 (1-6)","0.9 (0-3)","3.8 (1-8)","1.2 (0-4)","2.6 (0-6)","2.5 (0-6)","7.7 (5-11)","6.9 (3-12)"
"Midtre","319.6 (296-347)","262.8 (249-278)","298.6 (289-309)","289 (281-298)","265.3 (251-282)","311.4 (305-319)","313.6 (300-328)","356.4 (343-371)","321.7 (311-334)","281.7 (264-302)"
"Dalarna","77.5 (66-90)","78.2 (70-88)","81.3 (75-88)","63.1 (57-69)","58.3 (49-68)","69.7 (65-75)","71.1 (63-80)","78.9 (71-88)","60.1 (53-68)","56.2 (47-67)"
"Gävleborg","33 (25-42)","42.6 (36-50)","49.8 (44-56)","54.2 (49-59)","45.5 (39-53)","69.4 (65-74)","60.8 (56-66)","50.4 (45-56)","33.7 (29-38)","21.4 (16-28)"
"Örebro","46.2 (38-55)","25.7 (20-32)","38.1 (33-43)","35 (31-39)","38.3 (31-46)","49.9 (44-55)","49.2 (42-57)","58.1 (51-65)","53.6 (48-60)","55.7 (50-62)"
"Stockholm","6.5 (3-11)","4.9 (2-8)","2.8 (2-5)","4.7 (3-7)","2.6 (0-5)","3.4 (2-5)","8.3 (5-12)","7 (4-10)","7.7 (4-11)","4.5 (3-7)"
"Uppsala","7.7 (3-13)","5.5 (2-10)","6.6 (4-10)","9.3 (6-13)","7.2 (4-11)","4.9 (3-7)","8.3 (6-12)","13 (10-16)","7.6 (5-11)","9.4 (7-12)"
"Värmland","103.8 (92-117)","83 (75-91)","88.3 (81-96)","87.9 (82-94)","84.6 (76-94)","82.1 (77-88)","79.3 (70-89)","106.2 (96-116)","100 (92-108)","67.3 (60-76)"
"Västmanland","22 (16-28)","14.3 (10-19)","26.1 (23-30)","26.3 (23-30)","15.9 (12-21)","26.6 (22-31)","18.4 (14-24)","23.4 (18-29)","27.3 (23-32)","23 (20-27)"
